"","title","link","pubDate","Site","Lead","Symbol","Company"
"672","Merck designated breakthrough therapy by FDA and gets prime status from EMA for ebola vaccine","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3410766","2016-07-25 08:00:00","Reuters Key Development","Merck designated breakthrough therapy by FDA and gets prime status from EMA for ebola vaccine","MRK","Merck"
"673","Enigma biomedical announces research collaboration agreement with Biogen Inc and Merck","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3410983","2016-07-25 17:04:00","Reuters Key Development","Enigma biomedical announces research collaboration agreement with Biogen Inc and Merck","MRK","Merck"
"674","Merck sets quarterly dividend of $0.46 per share","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3411869","2016-07-26 12:50:00","Reuters Key Development","Merck sets quarterly dividend of $0.46 per share","MRK","Merck"
"675","Merck plans to end partnership agreement with Alk Abello","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3412227","2016-07-27 01:25:37","Reuters Key Development","Merck plans to end partnership agreement with Alk Abello","MRK","Merck"
"676","Merck Q2 adjusted earnings per share $0.93","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3415225","2016-07-29 06:45:00","Reuters Key Development","Merck Q2 adjusted earnings per share $0.93","MRK","Merck"
"677","Biogen has drawn takeover interest from drug companies including Merck &amp; Co and Allergan - WSJ","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3417355","2016-08-02 14:47:32","Reuters Key Development","Biogen has drawn takeover interest from drug companies including Merck & Co and Allergan - WSJ","MRK","Merck"
"678","Merck announces U.S. FDA filing acceptance of new drug application (NDA) for mk-1293","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3420409","2016-08-05 08:00:00","Reuters Key Development","Merck announces U.S. FDA filing acceptance of new drug application (NDA) for mk-1293","MRK","Merck"
"679","Merck &amp; Co says FDA approves keytruda","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3420654","2016-08-05 19:30:00","Reuters Key Development","Merck & Co says FDA approves keytruda","MRK","Merck"
"680","BRIEF-Merck &amp; Co says FDA approves Keytruda for a type of head and neck cancer (Aug 5)","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3421406","2016-08-08 11:43:34","Reuters Key Development","BRIEF-Merck & Co says FDA approves Keytruda for a type of head and neck cancer (Aug 5)","MRK","Merck"
"681","Biothera Pharmaceuticals expands relationship with Merck","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3431691","2016-08-24 11:25:00","Reuters Key Development","Biothera Pharmaceuticals expands relationship with Merck","MRK","Merck"
"682","Merck provides update on odanacatib development program","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3436751","2016-09-02 07:00:00","Reuters Key Development","Merck provides update on odanacatib development program","MRK","Merck"
"683","Merck says FDA grants breakthrough therapy designation to Keytruda","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3438299","2016-09-07 06:45:00","Reuters Key Development","Merck says FDA grants breakthrough therapy designation to Keytruda","MRK","Merck"
"684","Merck Canada says BRENZYS approved in Canada","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3439878","2016-09-12 08:00:00","Reuters Key Development","Merck Canada says BRENZYS approved in Canada","MRK","Merck"
"685","Merck, Pfizer say investigational Ertugliflozin met primary endpoint","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3441449","2016-09-15 08:31:00","Reuters Key Development","Merck, Pfizer say investigational Ertugliflozin met primary endpoint","MRK","Merck"
"686","Merck&#39;s bladder cancer drug meets primary endpoint and stops early","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3458288","2016-10-21 06:45:00","Reuters Key Development","Merck's bladder cancer drug meets primary endpoint and stops early","MRK","Merck"
"687","Merck &amp; Co says FDA also approves a labeling update for Keytruda for treatment of patients with metastatic NSCLC","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3459589","2016-10-24 18:04:00","Reuters Key Development","Merck & Co says FDA also approves a labeling update for Keytruda for treatment of patients with metastatic NSCLC","MRK","Merck"
"688","Merck prices EUR 1 bln debt offering","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3461738","2016-10-26 13:31:00","Reuters Key Development","Merck prices EUR 1 bln debt offering","MRK","Merck"
"689","Adaptimmune announces collaboration with MSD to evaluate Keytruda (pembrolizumab)","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3463232","2016-10-27 10:16:05","Reuters Key Development","Adaptimmune announces collaboration with MSD to evaluate Keytruda (pembrolizumab)","MRK","Merck"
"690","Biothera Pharma&#39;s announces new preclinical data on its immunotherapy drug","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3476469","2016-11-11 11:59:00","Reuters Key Development","Biothera Pharma's announces new preclinical data on its immunotherapy drug","MRK","Merck"
"691","OpGen collaborates with Merck to develop rapid diagnostics and informatics tools to help combat antimicrobial resistance","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3477399","2016-11-14 07:00:00","Reuters Key Development","OpGen collaborates with Merck to develop rapid diagnostics and informatics tools to help combat antimicrobial resistance","MRK","Merck"
"692","Genexine entered into a clinical research collaboration with Merck &amp; Co","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3479954","2016-11-16 08:00:00","Reuters Key Development","Genexine entered into a clinical research collaboration with Merck & Co","MRK","Merck"
"693","Merck raises quarterly dividend to $0.47/share from $0.46/share","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3483029","2016-11-22 13:22:00","Reuters Key Development","Merck raises quarterly dividend to $0.47/share from $0.46/share","MRK","Merck"
"694","Natrix Separations announces collaboration agreements with Merck and Sanofi","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3487624","2016-11-30 09:30:00","Reuters Key Development","Natrix Separations announces collaboration agreements with Merck and Sanofi","MRK","Merck"
"695","Merck CEO says importing drugs from outside U.S. not possible","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3488430","2016-12-01 11:18:11","Reuters Key Development","Merck CEO says importing drugs from outside U.S. not possible","MRK","Merck"
"696","Biothera Pharmaceuticals and Merck further expand research collaboration","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3490086","2016-12-05 09:30:00","Reuters Key Development","Biothera Pharmaceuticals and Merck further expand research collaboration","MRK","Merck"
"697","Merck presents updated findings from Keytruda","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3490122","2016-12-05 10:42:00","Reuters Key Development","Merck presents updated findings from Keytruda","MRK","Merck"
"698","Drugmakers trade group says government mandates wrong way to address drug costs","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3491584","2016-12-07 12:15:21","Reuters Key Development","Drugmakers trade group says government mandates wrong way to address drug costs","MRK","Merck"
"699","Europea&#39;s CHMP recommends Merck&#39;s Keytruda® for lung cancer treatment","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3496632","2016-12-16 07:26:00","Reuters Key Development","Europea's CHMP recommends Merck's Keytruda® for lung cancer treatment","MRK","Merck"
"700","Keytruda approved in japan for first-line treatment of patients with advanced non-small cell lung cancer","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3497456","2016-12-19 07:00:00","Reuters Key Development","Keytruda approved in japan for first-line treatment of patients with advanced non-small cell lung cancer","MRK","Merck"
"701","Sanofi Pasteur and MSD confirm ending of joint vaccines business in Europe","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3502755","2017-01-02 02:05:14","Reuters Key Development","Sanofi Pasteur and MSD confirm ending of joint vaccines business in Europe","MRK","Merck"
"702","Cerveau Technologies signs license agreement with Merck for novel investigational Tau imaging agent","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3504677","2017-01-05 16:02:00","Reuters Key Development","Cerveau Technologies signs license agreement with Merck for novel investigational Tau imaging agent","MRK","Merck"
"703","Merck &amp; Co Inc gets FDA acceptance of supplemental biologics license application for Keytruda in combination with chemotherapy","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3506688","2017-01-10 16:06:00","Reuters Key Development","Merck & Co Inc gets FDA acceptance of supplemental biologics license application for Keytruda in combination with chemotherapy","MRK","Merck"
"704","Agenus Inc says collaboration with National Cancer Institute to evaluate combination of Pembrolizumab with prophage autologous vaccine","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3509610","2017-01-17 09:00:00","Reuters Key Development","Agenus Inc says collaboration with National Cancer Institute to evaluate combination of Pembrolizumab with prophage autologous vaccine","MRK","Merck"
"705","Merck announces license agreement resolving Keytruda patent litigation","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3511913","2017-01-20 16:01:00","Reuters Key Development","Merck announces license agreement resolving Keytruda patent litigation","MRK","Merck"
"706","Bristol-Myers squibb and Ono pharmaceutical enters license agreement with Merck","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3511915","2017-01-20 16:01:00","Reuters Key Development","Bristol-Myers squibb and Ono pharmaceutical enters license agreement with Merck","MRK","Merck"
"707","European Commission approves Keytruda for first-line treatment of patients with metastatic non-small cell lung cancer","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3518169","2017-01-31 16:00:00","Reuters Key Development","European Commission approves Keytruda for first-line treatment of patients with metastatic non-small cell lung cancer","MRK","Merck"
"708","Merck Q4 adjusted earnings per share $0.89","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3519577","2017-02-02 06:53:10","Reuters Key Development","Merck Q4 adjusted earnings per share $0.89","MRK","Merck"
"709","Merck CEO says business development a priority","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3519734","2017-02-02 09:11:01","Reuters Key Development","Merck CEO says business development a priority","MRK","Merck"
"710","FDA grants accelerated approval to Bristol-Myers Squibb&#39;s nivolumab","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3519859","2017-02-02 14:33:05","Reuters Key Development","FDA grants accelerated approval to Bristol-Myers Squibb's nivolumab","MRK","Merck"
"711","Merck says FDA accepts two SBLAs for Keytruda","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3520358","2017-02-03 06:45:00","Reuters Key Development","Merck says FDA accepts two SBLAs for Keytruda","MRK","Merck"
"712","Immunovaccine says Princess Margaret Cancer Centre to conduct Phase 2 clinical trial to evaluate use of co, Merck&#39;s combination of immunotherapies","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3521121","2017-02-06 07:05:00","Reuters Key Development","Immunovaccine says Princess Margaret Cancer Centre to conduct Phase 2 clinical trial to evaluate use of co, Merck's combination of immunotherapies","MRK","Merck"
"713","Boehringer Ingelheim - To evaluate Afatinib in combination with PD-1 inhibitor pembrolizumab","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3524069","2017-02-09 08:30:00","Reuters Key Development","Boehringer Ingelheim - To evaluate Afatinib in combination with PD-1 inhibitor pembrolizumab","MRK","Merck"
"714","Capital World Investors reports 5.1 pct passive stake in Merck &amp; Co as on Dec 30 - SEC Filing","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3526396","2017-02-13 17:14:45","Reuters Key Development","Capital World Investors reports 5.1 pct passive stake in Merck & Co as on Dec 30 - SEC Filing","MRK","Merck"
"715","Merck&#39;s doravirine meets primary efficacy endpoint in pivotal phase 3 trial","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3527699","2017-02-14 16:05:00","Reuters Key Development","Merck's doravirine meets primary efficacy endpoint in pivotal phase 3 trial","MRK","Merck"
"716","Merck announces Epoch study of Verubecestat","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3527787","2017-02-14 17:00:00","Reuters Key Development","Merck announces Epoch study of Verubecestat","MRK","Merck"
"717","Biothera Pharmaceuticals initiates patient dosing in phase 2 trial investigating Imprime PGG, Merck&#39;s Keytruda","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3534231","2017-02-23 09:00:00","Reuters Key Development","Biothera Pharmaceuticals initiates patient dosing in phase 2 trial investigating Imprime PGG, Merck's Keytruda","MRK","Merck"
"718","Merck to record $2.9 bln impairment charge related to uprifosbuvir program - SEC filing","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3534597","2017-02-23 17:53:32","Reuters Key Development","Merck to record $2.9 bln impairment charge related to uprifosbuvir program - SEC filing","MRK","Merck"
"719","In first phase 3 trial Merck&#39;s virus vaccine (V2120 reduced the incidence of confirmed herpes zoster cases","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3535487","2017-02-24 16:00:00","Reuters Key Development","In first phase 3 trial Merck's virus vaccine (V2120 reduced the incidence of confirmed herpes zoster cases","MRK","Merck"
"720","Merck sets quarterly dividend of $0.47/share","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3537961","2017-02-28 13:47:00","Reuters Key Development","Merck sets quarterly dividend of $0.47/share","MRK","Merck"
"721","Glenmark Pharmaceuticals and Evestra announce partnership agreement for generic NuvaRing","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3539073","2017-03-01 13:58:00","Reuters Key Development","Glenmark Pharmaceuticals and Evestra announce partnership agreement for generic NuvaRing","MRK","Merck"
"722","Merck and pfizer announce U.S. Fda and EMA filing acceptances","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3541355","2017-03-06 08:00:00","Reuters Key Development","Merck and pfizer announce U.S. Fda and EMA filing acceptances","MRK","Merck"
"723","Merck provides update on supplemental biologics license application (sbla) for KEYTRUDA® (pembrolizumab)","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3547338","2017-03-14 16:43:00","Reuters Key Development","Merck provides update on supplemental biologics license application (sbla) for KEYTRUDA® (pembrolizumab)","MRK","Merck"
"724","Merck says FDA approves keytruda for treatment of patients with refractory classical hodgkin lymphoma","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3547356","2017-03-14 17:05:00","Reuters Key Development","Merck says FDA approves keytruda for treatment of patients with refractory classical hodgkin lymphoma","MRK","Merck"
"725","U.S. appeals court revives claims against Merck over Fosamax","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3552991","2017-03-22 08:33:14","Reuters Key Development","U.S. appeals court revives claims against Merck over Fosamax","MRK","Merck"
"726","Merck &amp; Co., Inc. subtracted -0.64% in its Stock Price in the Previous Trading ...","http://www.freeobserver.com/merck-co-inc-subtracted-0-64-in-its-stock-price-in-the-previous-trading-session/","2017-03-23 08:00:00","Free Observer","If you look at the company's income statement over the past years, you will see that the company is constantly posting gross profit: In 2014, MRK earned gross profit of 31.25 Billion, in 2015 29.67 Billion gross profit, while in 2016 Merck & Co., Inc ...","MRK","Merck"
"727","European Medicines Agency&#39;s CHMP recommends approval of Merck&#39;s keytruda","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3554887","2017-03-24 08:13:00","Reuters Key Development","European Medicines Agency's CHMP recommends approval of Merck's keytruda","MRK","Merck"
"728","Merck &amp; Co., Inc. Posted losses of -0.35% in the Last Trade","http://www.freeobserver.com/merck-co-inc-posted-losses-0-35-last-trade/","2017-03-24 10:37:30","Free Observer","If you look at the company's income statement over the past years, you will see that the company is constantly posting gross profit: In 2014, MRK earned gross profit of 31.25 Billion, in 2015 29.67 Billion gross profit, while in 2016 Merck & Co., Inc ...","MRK","Merck"
"729","Merck &amp; Co., Inc. (MRK) Is Trying To Tell Investors Something Through Its ...","http://nystocknews.com/2017/03/27/merck-co-inc-mrk-is-trying-to-tell-investors-something-through-its-technicals/","2017-03-27 14:11:15","NY Stock News","The technicals for Merck & Co., Inc. (MRK) has spoken via its technical chart and the message is loud and clear.","MRK","Merck"
"730","How Merck &amp; Co., Inc. (MRK) And Its Technical Chart Is Making Things Clearer ...","http://nystocknews.com/2017/03/28/how-merck-co-inc-mrk-and-its-technical-chart-is-making-things-clearer-for-traders-2/","2017-03-28 11:33:45","NY Stock News","Merck & Co., Inc. (MRK) has created a compelling message for traders in the most recent trading. That message has grown stronger as the technical chart setup has developed into a more composite picture for the stock.","MRK","Merck"
"731","EOD Risers: Merck &amp; Co., Inc., Microsoft Corporation, Nike Inc","http://www.directorstalkinterviews.com/eod-risers-merck-co-inc-microsoft-corporation-nike-inc/412726432","2017-03-30 05:30:48","DirectorsTalk Interviews","Shares of Merck & Co., Inc. with company EPIC: (NYSE:MRK) a global healthcare company, rose 0.47% or 0.3 points throughout yesterday's trading day.","MRK","Merck"
"732","Noticeable Stock at:Merck &amp; Co., Inc. (MRK)","http://standardoracle.com/2017/03/31/noticeable-stock-atmerck-co-inc-mrk/","2017-03-30 08:00:00","StandardOracle","Merck & Co., Inc. (NYSE:MRK) lost -0.3% to reach $63.45 in the previous trading session. Overall, 5.32 Million shares exchanged hands versus its average trading volume of 10.8 Million shares.","MRK","Merck"
"733","Digging Up the Facts on Merck &amp; Co., Inc. (MRK)","http://www.stocknewsjournal.com/2017/03/30/digging-up-the-facts-on-merck-co-inc-mrk-2/","2017-03-30 13:37:30","StockNewsJournal","Merck & Co., Inc. (MRK) is an interesting player in the Healthcare space, with a focus on Drug Manufacturers - Major.","MRK","Merck"
"734","What Merck&#39;s Strong Pipelines Means For Investors","https://seekingalpha.com/article/4060067-mercks-strong-pipelines-means-investors","2017-04-04 07:26:15","Seeking Alpha","That Merck has surpassed the performance of the broader market shouldn't be surprising: investors are rewarding the fact that company has exceeded Wall Street's earnings expectations in each of the last four quarters. Indeed, even though its sales were ...","MRK","Merck"
"735","10 things to know about Merck&#39;s proposal to come to Austin","https://communityimpact.com/austin/northwest-austin/city-county/2017/04/04/10-things-know-mercks-proposal-come-austin/","2017-04-04 09:50:07","Community Impact Newspaper","Inc. has shown interest in building an information technology center in Austin. ... Pending approval of an economic development agreement between Austin City Council and Merck, the company anticipates it could open this year in a temporary location.","MRK","Merck"
"736","All You Need To Know About Merck &amp; Co., Inc. (MRK) Revealed Perfectly In The ...","http://nystocknews.com/2017/04/04/all-you-need-to-know-about-merck-co-inc-mrk-revealed-perfectly-in-the-charts/","2017-04-04 12:07:30","NY Stock News","The technicals for Merck & Co., Inc. (MRK) have taken shape, and with them a comprehensive picture has emerged. This is the current state of play as presented by the current technical setup.","MRK","Merck"
"737","EOD Risers: Intel Corporation, JPMorgan Chase &amp; Co., Merck &amp; Co., Inc.","http://www.directorstalkinterviews.com/eod-risers-intel-corporation-jpmorgan-chase-co-merck-co-inc/412726766","2017-04-05 05:35:27","DirectorsTalk Interviews","The stock price for Intel Corporation ticker code: (NASDAQ:INTC) a company engaged in the design and manufacture of digital technology platforms, moved up 0.33% or 0.12 points in yesterday's trading session.","MRK","Merck"
"738","Merck &amp; Co. Inc Risk Points versus Health Care","http://news.cmlviz.com/2017/04/05/merck--co-inc-risk-points-versus-health-care.html","2017-04-05 07:14:00","CML News","This is a scatter plot analysis of the critical risk points from the option market for Merck & Co. Inc (NYSE:MRK) compared to its own past and the Health Care ETF.","MRK","Merck"
"739","Crazy Volume Spikes for: Merck &amp; Co., Inc. (MRK)","https://hugopress.com/2017/04/05/crazy-volume-spikes-for-merck-co-inc-mrk/","2017-04-05 07:37:30","HugoPress","Guggenheim Upgrades Merck & Co., Inc. (MRK)'s stock to Buy with the price target of $70. This rating was issued on 1/12/17.","MRK","Merck"
"740","Noteworthy Stock to Watch For: Merck &amp; Co., Inc. (MRK)","http://standardoracle.com/2017/04/06/noteworthy-stock-to-watch-for-merck-co-inc-mrk/","2017-04-06 07:48:45","StandardOracle","Merck & Co., Inc. (NYSE:MRK) lost -0.16% to reach $63.57 in the previous trading session. Overall, 7.7 Million shares exchanged hands versus its average trading volume of 10.53 Million shares.","MRK","Merck"
"741","Merck &amp; Co., Inc. (MRK) And Its Technicals Provide Timely Picture","http://nystocknews.com/2017/04/06/merck-co-inc-mrk-and-its-technicals-provide-timely-picture/","2017-04-06 09:30:00","NY Stock News","The technicals for Merck & Co., Inc. (MRK) has spoken via its technical chart and the message is loud and clear.","MRK","Merck"
"742","Merck receives complete response letter from the FDA for Tecos study with sitagliptin","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3564490","2017-04-07 07:30:00","Reuters Key Development","Merck receives complete response letter from the FDA for Tecos study with sitagliptin","MRK","Merck"
"743","The Technical Chart For Merck &amp; Co., Inc. (MRK) Has Spoken","http://nystocknews.com/2017/04/07/the-technical-chart-for-merck-co-inc-mrk-has-spoken/","2017-04-07 10:03:45","NY Stock News","Merck & Co., Inc. (MRK) has created a compelling message for traders in the most recent trading. That message has grown stronger as the technical chart setup has developed into a more composite picture for the stock.","MRK","Merck"
"744","Merck &amp; Co., Inc. closed with a change of -0.52% in the Previous Trading Session","http://www.freeobserver.com/merck-co-inc-closed-change-0-52-previous-trading-session/","2017-04-07 12:30:00","Free Observer","If you look at the company's income statement over the past years, you will see that the company is constantly posting gross profit: In 2014, MRK earned gross profit of 31.25 Billion, in 2015 29.67 Billion gross profit, while in 2016 Merck & Co., Inc ...","MRK","Merck"
"745","Fred Alger Management Inc. Has $725000 Stake in Merck &amp; Co., Inc. (MRK)","https://www.thecerbatgem.com/2017/04/20/fred-alger-management-inc-sells-16850-shares-of-merck-co-inc-mrk-updated.html","2017-04-08 06:52:30","The Cerbat Gem","Merck & Co. logo Fred Alger Management Inc. lowered its position in Merck & Co., Inc. (NYSE:MRK) by 57.8% during the fourth quarter, according to its most recent disclosure with the Securities and Exchange Commission.","MRK","Merck"
"746","Merck &amp; Co., Inc. (MRK) Is Grabbing Attention With Its Chart Setup","http://nystocknews.com/2017/04/10/merck-co-inc-mrk-is-grabbing-attention-with-its-chart-setup/","2017-04-10 12:18:45","NY Stock News","Merck & Co., Inc. (MRK) has been having a set of eventful trading activity and it is clear from an examination of the charts that traders are now fully aware of the company's key metrics.","MRK","Merck"
"747","BRIEF-Merck &amp; Co Inc&#39;s CEO&#39;s 2016 total compensation was $21.8 mln","http://www.reuters.com/article/brief-merck-co-incs-ceos-2016-total-comp-idUSFWN1HI0K9","2017-04-10 17:00:00","Reuters","HONG KONG/SAN FRANCISCO, April 16 Documents and computer files released by hackers provide a blueprint for how the U.S. National Security Agency likely used weaknesses in commercially available software to gain access to the global system for ...","MRK","Merck"
"748","KYORIN Holdings unit gets license from Merck for drug KRP-114V","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3566015","2017-04-11 01:45:00","Reuters Key Development","KYORIN Holdings unit gets license from Merck for drug KRP-114V","MRK","Merck"
"749","Merck &amp; Co., Inc. Posted losses of -0.92% in the Last Trade","http://www.freeobserver.com/merck-co-inc-posted-losses-of-0-92-in-the-last-trade/","2017-04-11 10:55:02","Free Observer","Currently, the market capitalization of Merck & Co., Inc. (MRK) is 171.74 Billion. MRK has a 1-year high price of $ 66.32 and 1-year low price of $51.48.","MRK","Merck"
"750","Merck &amp; Company Inc. (new) (MRK) Closes 0.14% Down on the Day for April 20","https://www.equities.com/news/merck-company-inc-new-mrk-closes-0-14-down-on-the-day-for-april-20","2017-04-11 11:33:45","Equities.com","Shares of Merck & Company Inc. (new) (MRK) ended the trading day Thursday at $62.55, representing a move of -0.14%, or $0.09 per share, on volume of 8.66 million shares.","MRK","Merck"
"751","Merck And A Curiously Effective Buyback","https://seekingalpha.com/article/4061796-merck-curiously-effective-buyback","2017-04-11 15:52:30","Seeking Alpha","Acquisitions are a big deal for Merck and it spends a lot of money doing those but apart from that, shareholders rely upon capital returns as a principal source of total returns for the stock.","MRK","Merck"
"752","Analytical Guide for two rising stock&#39;s: Merck &amp; Co., Inc. (MRK), Twenty-First ...","http://stocknewsjournal.com/2017/04/13/analytical-guide-for-two-rising-stocks-merck-co-inc-mrk-twenty-first-century-fox-inc-foxa/","2017-04-13 08:00:00","StockNewsJournal","Merck & Co., Inc. (NYSE:MRK) market capitalization at present is $173.41B at the rate of $63.05 a share. The firm's price-to-sales ratio was noted 4.31 in contrast with an overall industry average of 3.62.","MRK","Merck"
"753","The Charts For Merck &amp; Co., Inc. (MRK) Is Attracting Massive Attention","http://nystocknews.com/2017/04/13/the-charts-for-merck-co-inc-mrk-is-attracting-massive-attention-3/","2017-04-13 14:33:45","NY Stock News","The technicals for Merck & Co., Inc. (MRK) have taken shape, and with them a comprehensive picture has emerged. This is the current state of play as presented by the current technical setup.","MRK","Merck"
"754","Austin OKs Merck incentives to build big pharma IT hub in Austin","http://www.bizjournals.com/austin/news/2017/04/13/austin-oks-merck-incentives-to-build-bigpharma-it.html","2017-04-13 19:03:45","Austin Business Journal","Merck & Co Inc. has received the first incentives agreement from the city of Austin… more. Michael Nagle. Austin City Council has approved its first economic incentive agreement in years, designed to lure pharmaceutical giant Merck & Co.","MRK","Merck"
"755","American National Insurance Co. TX Holds Position in Merck &amp; Co., Inc. (MRK)","https://www.thecerbatgem.com/2017/04/17/american-national-insurance-co-tx-holds-position-in-merck-co-inc-mrk.html","2017-04-14 09:52:30","The Cerbat Gem","Merck & Co. logo American National Insurance Co. TX held its stake in Merck & Co., Inc. (NYSE:MRK) during the fourth quarter, according to its most recent Form 13F filing with the Securities and Exchange Commission (SEC).","MRK","Merck"
"756","MML Investors Services LLC Takes Position in Merck &amp; Co., Inc. (MRK)","https://sportsperspectives.com/2017/04/19/mml-investors-services-llc-purchases-new-position-in-merck-co-inc-mrk-updated.html","2017-04-16 09:41:15","Sports Perspectives","Merck & Co. logo MML Investors Services LLC bought a new stake in Merck & Co., Inc. (NYSE:MRK) during the fourth quarter, according to its most recent Form 13F filing with the Securities and Exchange Commission.","MRK","Merck"
"757","Most Active Watch-list Mover: Merck &amp; Co., Inc.&#39;s (MRK) stock price settles at ...","http://www.wsnews4investors.com/2017/04/17/most-active-watch-list-mover-merck-co-inc-s-mrk-stock-price-settles-at-62-61-with-movement-of-0-70/","2017-04-17 07:26:15","WsNews 4investors","Merck & Co., Inc. (MRK) stock price distance from twenty day simple moving average slumped at -1.28% while its distance from fifty day simple moving average declined -2.50% along with 2.24% above distance from two hundred simple moving averages.","MRK","Merck"
"758","2 Stocks to keep an eye on Today: Merck &amp; Co., Inc. (MRK), U.S. Bancorp (USB)","http://stocknewsjournal.com/2017/04/17/2-stocks-to-keep-an-eye-on-today-merck-co-inc-mrk-u-s-bancorp-usb/","2017-04-17 09:18:45","StockNewsJournal","Merck & Co., Inc. (NYSE:MRK) market capitalization at present is $171.65B at the rate of $62.61 a share. The firm's price-to-sales ratio was noted 4.31 in contrast with an overall industry average of 3.64.","MRK","Merck"
"759","Sell-Side Analyst&#39;s Predictions: Merck &amp; Co., Inc. (MRK), Valero Energy ...","http://theusacommerce.com/2017/04/17/sell-side-analysts-predictions-merck-co-inc-mrk-valero-energy-corporation-vlo/","2017-04-17 09:18:45","The USA Commerce","Shares of Merck & Co., Inc. (NYSE:MRK) dropped -0.70% to $62.61. During the trading on 04/13/2017, Company's stock ranged from $63.00 to $62.56.","MRK","Merck"
"760","Form PX14A6G Merck &amp; Co., Inc. Filed by: TRILLIUM ASSET MANAGEMENT, LLC","https://www.streetinsider.com/SEC+Filings/Form+PX14A6G+Merck+%26amp%3B+Co.%2C+Inc.+Filed+by%3A+TRILLIUM+ASSET+MANAGEMENT%2C+LLC/12782113.html","2017-04-17 10:03:45","StreetInsider.com","issue a report (at reasonable cost, in a reasonable time and excluding confidential information) evaluating the merits and feasibility of Merck (1) strengthening Board expertise in pharmaceutical manufacturing and product quality and safety, (2 ...","MRK","Merck"
"761","One Put, One Call Option To Know About for Merck","http://www.nasdaq.com/article/one-put-one-call-option-to-know-about-for-merck-cm774731","2017-04-17 12:52:30","Nasdaq","Consistently, one of the more popular stocks people enter into their stock options watchlist at Stock Options Channel is Merck & Co Inc (Symbol: MRK). So this week we highlight one interesting put contract, and one interesting call contract, from the ...","MRK","Merck"
"762","Aurinia completes licensing deal with Merck Animal Health","http://www.reuters.com/finance/stocks/MRK/key-developments/article/3569298","2017-04-17 16:02:00","Reuters Key Development","Aurinia completes licensing deal with Merck Animal Health","MRK","Merck"
